urban_system_id,city,country_code,lat,lon,geonames_id,geonames_name,match_field
AT001,Wien,AT,48.208490,16.372080,2761369,Vienna,"geonames_full_name (pop 1,691,468)"
BE001,Bruxelles,BE,50.850450,4.348780,2800866,Brussels,"geonames_full_name (pop 1,019,022)"
BE002,Antwerpen,BE,51.220470,4.400260,2803138,Antwerp,"geonames_full_name (pop 529,247)"
BE003,Gent,BE,51.050000,3.716670,2797656,Gent,"geonames_full_name (pop 265,086)"
BE004,Charleroi,BE,50.411360,4.444480,2800481,Charleroi,"geonames_full_name (pop 200,132)"
BE005,Liège,BE,50.633730,5.567490,2792413,Liège,"geonames_full_name (pop 195,278)"
BE006,Brugge,BE,51.208920,3.224240,2800931,Brugge,"geonames_full_name (pop 118,509)"
BE007,Namur,BE,50.466900,4.867460,2790471,Namur,"geonames_full_name (pop 110,939)"
BE009,Mons,BE,50.454130,3.952290,2790869,Mons,"geonames_full_name (pop 95,299)"
BE010,Kortrijk,BE,50.828030,3.264870,2794055,Kortrijk,"geonames_full_name (pop 73,879)"
BE011,Oostende,BE,51.215510,2.927000,2789786,Ostend,"geonames_full_name (pop 69,011)"
BG001,Sofia,BG,42.697510,23.324150,727011,Sofia,"geonames_full_name (pop 1,152,556)"
BG002,Plovdiv,BG,42.153870,24.750010,728193,Plovdiv,"geonames_full_name (pop 329,489)"
BG003,Varna,BG,43.219120,27.910240,726050,Varna,"geonames_full_name (pop 318,737)"
BG004,Burgas,BG,42.506510,27.468860,732770,Burgas,"geonames_full_name (pop 210,646)"
CH001,Bern,CH,46.948090,7.447440,2661552,Bern,"geonames_full_name (pop 121,631)"
CH002,Zürich,CH,47.366670,8.550000,2657896,Zürich,"geonames_full_name (pop 415,367)"
CH003,Genève,CH,46.202220,6.145690,2660646,Geneva,"geonames_full_name (pop 201,741)"
CH004,Basel,CH,47.558390,7.573270,2661604,Basel,"geonames_full_name (pop 177,595)"
CH005,Lausanne,CH,46.516000,6.632820,2659994,Lausanne,"geonames_full_name (pop 139,111)"
CH006,Lucerne,CH,47.050480,8.306350,2659811,Luzern,"geonames_full_name (pop 81,691)"
CH008,Lugano,CH,46.010080,8.960040,2659836,Lugano,"geonames_full_name (pop 63,185)"
CH009,St. Gallen,CH,47.423910,9.374770,2658822,Sankt Gallen,"geonames_full_name (pop 75,833)"
CH010,Biel/Bienne,CH,47.137130,7.246080,2661513,Biel/Bienne,"geonames_full_name (pop 55,120)"
CZ001,Praha,CZ,50.088040,14.420760,3067696,Prague,"geonames_full_name (pop 1,165,581)"
CZ002,Brno,CZ,49.195220,16.607960,3078610,Brno,"geonames_full_name (pop 379,466)"
CZ003,Ostrava,CZ,49.834650,18.282040,3068799,Ostrava,"geonames_full_name (pop 279,791)"
CZ004,Plzeň,CZ,49.747470,13.377590,3068160,Pilsen,"geonames_full_name (pop 168,733)"
CZ006,Olomouc,CZ,49.595520,17.251750,3069011,Olomouc,"geonames_full_name (pop 99,496)"
CZ007,Liberec,CZ,50.767110,15.056190,3071961,Liberec,"geonames_full_name (pop 102,951)"
DE001,Berlin,DE,52.524370,13.410530,2950159,Berlin,"geonames_full_name (pop 3,426,354)"
DE002,Hamburg,DE,53.550730,9.993020,2911298,Hamburg,"geonames_full_name (pop 1,973,896)"
DE003,München,DE,48.137430,11.575490,2867714,Munich,"geonames_full_name (pop 1,505,005)"
DE004,Köln,DE,50.933330,6.950000,2886242,Köln,"geonames_full_name (pop 1,024,621)"
DE005,Frankfurt am Main,DE,50.115520,8.684170,2925533,Frankfurt am Main,"geonames_full_name (pop 650,000)"
DE006,Ruhrgebiet,DE,51.514940,7.466000,2935517,Dortmund,"alias:Ruhrgebiet FUA -> largest Ruhr city (pop 588,462)"
DE007,Stuttgart,DE,48.782320,9.177020,2825297,Stuttgart,"geonames_full_name (pop 612,663)"
DE008,Leipzig,DE,51.339620,12.371290,2879139,Leipzig,"geonames_full_name (pop 504,971)"
DE009,Dresden,DE,51.050890,13.738320,2935022,Dresden,"geonames_full_name (pop 564,904)"
DE011,Düsseldorf,DE,51.223190,6.779270,2934246,Düsseldorf,"geonames_full_name (pop 618,685)"
DE012,Bremen,DE,53.075820,8.807170,2944388,Bremen,"geonames_full_name (pop 546,501)"
DE013,Hannover,DE,52.370520,9.733220,2910831,Hannover,"geonames_full_name (pop 515,140)"
DE014,Nürnberg,DE,49.454210,11.077520,2861650,Nuremberg,"geonames_full_name (pop 515,543)"
DE016,Bielefeld,DE,52.033330,8.533330,2949186,Bielefeld,"geonames_full_name (pop 331,906)"
DE017,Halle an der Saale,DE,51.481580,11.979470,2911522,Halle (Saale),"geonames_full_name (pop 237,865)"
DE018,Magdeburg,DE,52.131290,11.631890,2874545,Magdeburg,"geonames_full_name (pop 244,329)"
DE019,Wiesbaden,DE,50.086010,8.244350,2809346,Wiesbaden,"geonames_full_name (pop 288,850)"
DE020,Göttingen,DE,51.534430,9.932280,2918632,Göttingen,"geonames_full_name (pop 122,149)"
DE023,Darmstadt,DE,49.871670,8.650270,2938913,Darmstadt,"geonames_full_name (pop 167,029)"
DE024,Trier,DE,49.755650,6.639350,2821164,Trier,"geonames_full_name (pop 100,129)"
DE025,Freiburg im Breisgau,DE,47.995900,7.852220,2925177,Freiburg,"geonames_full_name (pop 237,460)"
DE026,Regensburg,DE,49.015130,12.101610,2849483,Regensburg,"geonames_full_name (pop 151,389)"
DE030,Erfurt,DE,50.977340,11.035360,2929670,Erfurt,"geonames_full_name (pop 218,793)"
DE031,Augsburg,DE,48.371540,10.898510,2954172,Augsburg,"geonames_full_name (pop 301,105)"
DE032,Bonn,DE,50.734380,7.095490,2946447,Bonn,"geonames_full_name (pop 330,579)"
DE033,Karlsruhe,DE,49.009370,8.404440,2892794,Karlsruhe,"geonames_full_name (pop 283,799)"
DE034,Mönchengladbach,DE,51.185390,6.441720,2869894,Mönchengladbach,"geonames_full_name (pop 261,742)"
DE035,Mainz,DE,49.981850,8.280080,2874225,Mainz,"geonames_full_name (pop 222,889)"
DE036,Kiel,DE,54.321330,10.134890,2891122,Kiel,"geonames_full_name (pop 252,668)"
DE037,Saarbrücken,DE,49.232620,7.009820,2842647,Saarbrücken,"geonames_full_name (pop 182,971)"
DE039,Koblenz,DE,50.353570,7.578830,2886946,Koblenz,"geonames_full_name (pop 107,319)"
DE040,Rostock,DE,54.088700,12.140490,2844588,Rostock,"geonames_full_name (pop 198,293)"
DE041,Kaiserslautern,DE,49.443000,7.771610,2894003,Kaiserslautern,"geonames_full_name (pop 98,732)"
DE042,Iserlohn,DE,51.375470,7.702810,2895669,Iserlohn,"geonames_full_name (pop 91,811)"
DE047,Tübingen,DE,48.522660,9.052220,2820860,Tübingen,"geonames_full_name (pop 92,322)"
DE049,Flensburg,DE,54.788050,9.437220,2926271,Flensburg,"geonames_full_name (pop 85,838)"
DE051,Konstanz,DE,47.660330,9.175820,2885679,Konstanz,"geonames_full_name (pop 81,275)"
DE054,Gießen,DE,50.587270,8.675540,2920512,Gießen,"geonames_full_name (pop 89,179)"
DE056,Bayreuth,DE,49.947820,11.578930,2951825,Bayreuth,"geonames_full_name (pop 72,940)"
DE058,Aschaffenburg,DE,49.977040,9.152140,2955272,Aschaffenburg,"geonames_full_name (pop 68,551)"
DE059,Bamberg,DE,49.898730,10.900670,2952984,Bamberg,"geonames_full_name (pop 70,047)"
DE063,Kempten (Allgäu),DE,47.726740,10.313890,2891621,Kempten (Allgäu),"geonames_full_name (pop 61,399)"
DE064,Landshut,DE,48.529610,12.161790,2881485,Landshut,"geonames_full_name (pop 71,863)"
DE066,Rosenheim,DE,47.856370,12.122470,2844988,Rosenheim,"geonames_full_name (pop 60,167)"
